,Product_name,Original_price,Offer_price,Offer_percentage,Extra_offer,Shades_and_sizes,Featured_product,Best_seller_product
0,Gillette Venus Snap Hair Remover Women Body Razor,399,299,25,Not available,Not available,FEATURED,BESTSELLER
1,Whisper Bindazzz Night Period Panty for Heavy flow- 360 degr...,399,359,10,Not available,Not available,FEATURED,BESTSELLER
2,Palmolive Body Wash Coconut Joy - Exfoliator with Real Apric...,279,223,20,Not available,Not available,FEATURED,Not available
3,Sanfe Spotlite Sensitive Areas Body Serum For Underarms Vita...,399,379,5,Extra 5% Off,Not available,FEATURED,BESTSELLER
4,Carmesi Facial Razor for Women - Instant & Painless Hair Rem...,299,194,35,Not available,Not available,FEATURED,BESTSELLER
5,Nykaa Wanderlust Shower Gel,350,263,25,Enjoy Free Gift,11 shades,Not available,BESTSELLER
6,MCaffeine Exfoliating Coffee Body Scrub for Tan Removal & So...,449,399,11,Not available,Not available,Not available,Not available
7,Biotique Morning Nectar Nourish & Hydrate Moisturizer,330,264,20,Extra 10% Off,Not available,Not available,Not available
8,Chemist At Play Aqua Fragrance Under Arm Roll On For Lighter...,399,299,25,Enjoy Free Gift,Not available,Not available,BESTSELLER
9,Nykaa Hand & Nail Creme,299,209,30,Enjoy Free Gift,16 shades,Not available,BESTSELLER
10,Biotique Skincare Daily Routine Combo,765,536,30,Not available,Not available,Not available,BESTSELLER
11,The Body Shop British Rose Shower Gel,395,316,20,Not available,Not available,Not available,BESTSELLER
12,Vaseline Intensive Care Cocoa Glow Body Lotion,625,406,35,Not available,4 sizes,Not available,BESTSELLER
13,VWash Plus Expert Intimate Hygiene Liquid Wash,639,511,20,Not available,3 sizes,Not available,Not available
14,Dove Exfoliating Body Polish Scrub with Pomegranate Seeds an...,725,544,25,Not available,Not available,Not available,Not available
15,"Braun Face Mini Hair Remover FS1000, Electric Facial Hair Re...",1999,1499,25,Not available,Not available,Not available,Not available
16,"Plum BodyLovin' Vanilla Vibes Body Oil, Intense Moisture + I...",550,479,13,Not available,Not available,Not available,Not available
17,Nykaa Wanderlust Body Scrub,350,245,30,Enjoy Free Gift,9 shades,Not available,Not available
18,Whisper Ultra Clean Thin XL+ Sanitary Pads-Hygiene & Comfort...,733,500,32,Not available,Not available,Not available,Not available
19,MCaffeine Choco & Shea Body Butter - 72Hrs Moisturization & ...,645,569,12,Not available,Not available,Not available,Not available
20,MCaffeine Exfoliating Bath Glove to Prevent Ingrown Hair & S...,299,279,7,Not available,Not available,Not available,Not available
21,Vaseline Sun + Pollution Protection Healthy Bright SPF 30 Bo...,460,345,25,Not available,Not available,Not available,Not available
22,Biotique Bio Apricot Refreshing Body Wash,220,176,20,Extra 10% Off,3 sizes,Not available,Not available
23,The Derma Co 1% Salicylic Acid Daily Exfoliating Body Wash,299,272,9,Not available,Not available,Not available,Not available
24,Be Bodywise 1% Salicylic Acid Body Wash + 5% Lactic Acid Bod...,848,749,12,Get Free Product,Not available,Not available,Not available
25,Sanfe Intimate Lightening Serum For Dark Underarms Inner Thi...,349,329,6,Extra 5% Off,Not available,Not available,Not available
26,Nykaa Wanderlust Loofah,249,212,15,Enjoy Free Gift,6 shades,Not available,Not available
27,Gillette Venus Glide Strip With Aloe Extracts 2 Refills,325,276,15,Not available,Not available,Not available,Not available
28,Vaseline Intensive Care Deep Moisture Body Lotion,575,403,30,Not available,4 sizes,Not available,Not available
29,Stayfree Dry Max Cover Wings All Nights XL (42 Pads),500,450,10,Not available,Not available,Not available,Not available
30,Sanfe Eyebrow Touch Up Hair Removing Face Razor For Women - ...,99,89,10,Extra 5% Off,Not available,Not available,Not available
31,Dr. Sheth's Tea Tree & Lactic Acid Body Lotion,299,245,18,Extra 5% Off,Not available,Not available,Not available
32,Chemist At Play Fragrance Free Under Arm Roll On For Lighter...,399,299,25,Enjoy Free Gift,Not available,Not available,Not available
33,Love Beauty & Planet Natural Murumuru Butter And Rose Sulfat...,500,375,25,Not available,2 sizes,Not available,Not available
34,MCaffeine Exfoliating Espresso Body Wash - Soap Free Coffee ...,399,349,13,Not available,Not available,Not available,Not available
35,Chemist At Play Exfoliating Body Wash With 2% Lactic Acid & ...,399,329,18,Enjoy Free Gift,2 sizes,Not available,Not available
36,"MCaffeine Coffee Body Polishing Oil - Moisturizes, Reduces C...",445,399,10,Not available,Not available,Not available,Not available
37,Be Bodywise 5% Lactic Acid Body Lotion - Improves Skin Textu...,499,474,5,Get Free Product,Not available,Not available,Not available
38,"MCaffeine Body Polishing Kit - Exfoliation, Tan Removal & Mo...",1094,875,20,Not available,Not available,Not available,Not available
39,"Plum BodyLovin' Hawaiian Rumba Shower Gel, Beachy Fragrance,...",380,315,17,Not available,Not available,Not available,Not available
40,"Plum BodyLovin' Hawaiian Rumba Shower Gel, Beachy Fragrance,...",380,315,17,Not available,Not available,Not available,Not available
41,Vaseline Sun Protect & Calming Spf 30 Body Serum Lotion,449,337,25,Not available,Not available,Not available,Not available
42,Bronson Professional Eyebrow and Face Razor - Pack of 3 (Col...,200,98,51,Not available,Not available,Not available,Not available
43,Sanfe Bikini Line Trimming Razor for Women Painless Hair Rem...,109,99,9,Extra 5% Off,Not available,Not available,Not available
44,"NIVEA Body Wash, Waterlily & Oil Shower Gel, Pampering Care ...",225,169,25,Not available,2 sizes,Not available,Not available
45,MCaffeine Natural Loofah for Deep Cleansing & Dead Skin Remo...,199,179,10,Not available,Not available,Not available,Not available
46,Kimirica Love Story Experience Set,1249,937,25,Not available,Not available,Not available,Not available
47,MCaffeine Exfoliating Coffee Body Scrub for Tan Removal & So...,279,265,5,Not available,Not available,Not available,Not available
